id,text
"GUI.45.6","− > GUI.46.2 iii Contents Definitions and Abbreviations vii 1 Introduction 1 1.1 Mechanical lung ventilator . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 1.2 Structure of the document . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2 1.3 Suggested outcomes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3 2 System Requirements 5 2.1 Functional Requirements . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 5 2.1.1 Safety Related Functional Requirements . . . . . . . . . . . . . . . . . . . 13 2.2 Measured and displayed parameters . . . . . . . . . . . . . . . . . . . . . . . . . 15 2.3 Values and ranges . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 15 2.3.1 Common values and ranges . . . . . . . . . . . . . . . . . . . . . . . . . . 15 2.3.2 Default values and ranges for PCV parameters . . . . . . . . . . . . . . . 16 2.3.3 Default values and ranges for PSV parameters . . . . . . . . . . . . . . . 17 2.3.4 Default Alarm Thresholds Values and Ranges . . . . . . . . . . . . . . . . 18 2.4 Sensors and interfaces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 2.4.1 Sensors . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 2.4.2 Interface between GUI and controller . . . . . . . . . . . . . . . . . . . . . 19 2.4.3 Interface between Hardware and Controller . . . . . . . . . . . . . . . . . 20 2.5 Alarm requirements . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 21 3 GUI Requirements 25 3.1 Start-up Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 26 3.1.1 Start-up Configuration Parameters . . . . . . . . . . . . . . . . . . . . . . 27 3.2 Start Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 28 3.3 Menu Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 29 3.4 Self-Test Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 29 3.5 Ventilation Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 29 3.6 Show Real Time Data Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 30 3.7 Settings Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 32 3.8 Frozen Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 33 3.9 Alarm settings Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 33 4 Controller Requirements 35 4.1 Start-up Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 37 4.2 SelfTest Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 37 4.3 PCV Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 37 4.4 PSV Mode . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 39 4.5 Requirements Common to all Modes . . . . . . . . . . . . . . . . . . . . . . . . . 40 5 Alarms 43 5.1 Alarm list . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 44 5.2 Visual alarm signals . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 52 v Definitions and Abbreviations Definitions Term Definition apnea backup ventila- Switching from PSV to PCV mode in case of apnea lag tion apnea lag (or apnea Duration of apnea that triggers a switch from PSV to PCV mode trigger window) control panel A touchscreen display for setting parameters and operation monitoring of the ventilator default configuration File which contains setting parameters with default values file pressure drop Intensity of pressure drop. If the pressure drops, the drop is positive. The bigger is the drop, the more sudden is the drop. internal pressure The internal pressure in the circuit in valve The inspiratory control valve allows the mix of air and oxygen to enter the inspiratory limb of the patient’s circuit. This valve can have  state closed when the pressure is set to 0, and  state open when the pressure is set to Pinsp last inspiration time Duration of the patient inspiration in the current breath cycle in PSV mode. max exp pause The maximum time duration of an Expiratory Pause max ins pause The maximum time duration of an Inspiratory Pause max insp time psv A timeout for the inspiration phase in PSV mode in case an expiration is not spontaneously triggered by the patient. It shall be 7 sec. max rm time The maximum time duration of a Recruitment Maneuver min exp time psv A timeout for the expiration phase in PSV mode in case an inspiration breath is not spontaneously triggered by the patient and the apnea lag is not over. out valve The valve that controls the expiratory flow. The valve can be closed or open. pressure control loop The sw procedure that determines the output control signal to inspi- ratory valve to maintain the Airway Pressure (PAW) at a set target pressure stored configuration file File which contains setting parameters with last changes made by the user trigger window Time interval within which a spontaneous breathing can be detected (in PCV mode). The trigger window can start 0.7 sec after the end of the inspiration phase. waveform An image that represents a quantity that changes over time, e.g., in- spiratory pressure. It shows the changes in amplitude over a certain amount of time. The amplitude of the signal is measured on the verti- cal axis while time is measured on the horizontal axis vii Definitions and Abbreviations Table 1: Definitions Abbreviations Term Definition ETS Expiratory Trigger Sensitivity: percentage of peak flow at which the ventilator triggers expiration FiO2 Fraction of inspired Oxygen: the relative oxygen concentration of the air in the inspiratory limb of the circuit I:EAP Ratio of Inspiratory time to Expiratory time in apnea backup mode I:EPCV Ratio of Inspiratory time to Expiratory time in PCV mode IS Inspiratory Pressure: airway pressure during an inspiratory or inflation phase ITSPCV Inhale Trigger Sensitivity: the drop-in pressure that triggers a new inspiration in PCV mode ITSPSV Inhale Trigger Sensitivity: the drop-in pressure that triggers a new inspiration in PSV mode GUI A software component controlling a touchscreen display for the user function- alities of setting the parameters and monitoring the operation of the ventilator PAW Airway Pressure: the pressure measured in the entrance to the patient’s airway PCV Pressure Controlled Ventilation: inflation type that acts to generate a constant inspiratory pressure at a set level, after a set rise time Peak Pinsp PCV Peak inspiratory Pressure: highest airway pressure reached during the previous respiratory cycle in PCV mode Peak Pinsp PSV Peak inspiratory Pressure: highest airway pressure reached during the previous respiratory cycle in PSV mode PEEP Positive End Expiratory Pressure: the measured respiratory pressure at the end of an expiratory phase Pinsp AP Target Inspiratory Pressure: the set pressure to supply the patient during the inspiratory phase of the breathing cycle in case of apnea backup. Pinsp PCV Target Inspiratory Pressure: the set pressure to supply the patient during the inspiratory phase of the breathing cycle in PCV mode. Pinsp PSV Target Inspiratory Pressure: the set pressure to supply the patient during the inspiratory phase of the breathing cycle in PSV modes. PSV Pressure Support Ventilation PRM Pressure for the Recruitment Maneuver RM Recruitment Maneuver RRAP Respiratory Rate: the number of breaths taken by the patient per minute in apnea backup mode RRPCV Respiratory Rate: the number of breaths taken by the patient per minute in PCV mode Vtidal Tidal Volume: the volume of air delivered by the ventilator to the lungs for each breath. VE Minute Volume: (or flux) volume of gas either passing to or leaving the lung dur- ing inspiratory or inflation phases, or expiratory phase, respectively, expressed as a volume per minute. The Minute Volume is equal to the tidal volume mul- tiplied by the respiratory rate. Table 2: Abbreviations viii ix 1 Introduction During the COVID-19 pandemic, a group of researchers was involved in the design, development, and certification of an electro-mechanical lung ventilator called MVM (Mechanical Ventilator Milano)1 [3]. The project started from the idea of the physicist Cristiano Galbiati, who was soon joined by dozens of physicists, engineers, physicians, and computer scientists from 12 countries around the world2. The team was able to realize a ventilator that is reliable, easily reproducible on a large scale, available in a short amount of time, and at a limited cost [4]. The MVM has obtained the FDA (Food and Drug Administration) Emergency Use Authorization (EUA) followed by authorizations issued by Health Canada and the CE marking as well. The specification of the mechanical lung ventilator is inspired by MVM, with some simplifi- cations to make it suitable as a case study:  we have removed one component, the supervisor which was responsible for monitoring the controller, the GUI, and the hardware. In the case of errors, it raises alarms if not already raised by the controller or the GUI, ensuring patient safety.  we use only visual alarms, instead of audio and visual alarms. Disclaimer The content of this document is not the one used for the certification of MVM. We have elaborated on the original documentation, and we may have introduced some inaccuracies. So, please DO NOT use this document as software requirements specification of a real ventilator. 1.1 Mechanical lung ventilator The mechanical lung ventilator is intended to provide ventilation support for patients that are in intensive therapy and that require mechanical ventilation. The ventilator proposed in this document works in pressure mode, i.e., the respiratory time cycle of the patient is controlled by pressure, and, therefore, this ventilator requires a source of compressed oxygen and medical air that are readily available in intensive care units. More precisely, the ventilator has two operative modes: Pressure Controlled Ventilation (PCV) and Pressure Support Ventilation (PSV). In the PCV mode, the respiratory cycle is kept constant and the pressure level changes between the target inspiratory pressure (Pinsp) and the positive end-expiratory pressure (PEEP). New inspiration is initiated either after a breathing cycle is over, or when the patient spontaneously initiates a breath. In the former case, the breathing cycle is controlled by two parameters: the respiratory rate (RR) and the ratio between the inspiratory and expiratory times (I:E). In the latter case, a spontaneous breath is triggered when the ventilator detects a sudden pressure drop within the trigger window during expiration. The PSV mode is not suitable for patients that are not able to start breathing on their own because the respiratory cycle is controlled by the patient, and the ventilator partially takes over the work of breathing. A new respiratory cycle is initiated with the inspiratory phase, detected by the ventilator when a sudden pressure drop occurs. When the patient’s inspiratory flow drops below a set fraction of the peak flow, 1https://mvm.care/ 2At that period, many projects on mechanical ventilator started, but only a few get certifiedhttps://github. com/PubInv/covid19-vent-list 1 1 Introduction the ventilator stops the pressure support, thus allowing exhalation. If a new inspiratory phase is not detected within a certain amount of time (apnea lag), the ventilator will automatically switch to the PCV mode because it is assumed that the patient is not able to breathe alone. The ventilator allows the air to enter/exit through two valves, i.e., an input valve and an output valve. When the ventilator is not running, the valves are set to safe mode: the input valve is closed and the output valve is opened. In this configuration, the ventilator does not prevent breathing thanks to some relief valves. When the inspiration starts, the input valve is opened and the output valve is closed, while during the expiration the input valve is closed and the output valve is opened. Both in PCV and PSV mode, inspiratory pause, expiratory pause, and recruitment maneuver are allowed by user request. Inspiratory/Expiratory pause consists in closing the input and output valves of the ventilator respectively after the inspiration and expiration phases. The inspiratory pause allows measuring the pressure reached inside the alveoli at the end of the inspiratory cycle, while the expiratory pause allows measuring the residual pressure to check possible obstruction in the exhalation channel. The recruitment maneuver is an emergency procedure required after intubation, and it consists of prolonged lung inflation as necessary to reactivate the alveoli immediately; during this maneuver, the input valve is opened and the output valve is closed. The high-level software architecture, shown in Figure 1.1, illustrates the communication among the software components: graphical user interface (GUI) and controller. The GUI is a touchscreen panel that displays the information needed to check the respiratory condition, allows parameter setting, and displays ventilation parameters and alarm settings. When the controller receives operator input from the GUI, it communicates with the valve controllers, serial interfaces, and other subcomponents and sends them commands. Before starting the ventilation, the ventilator controller passed through three phases. The start-up in which the controller is initialized with default parameters, self-test which ensures that the hardware is fully functional, and ventilation off in which the controller is ready for ventilation when requested. If during ventilation and other phases the controller detects a severe condition that prevents the ventilator to sustain the ventilation, the machine is brought to fail-safe mode (in valve closed and out valve open). Figure 1.1: The high-level software architecture 1.2 Structure of the document This document is structured in the following chapters:  Chapter 2 presents the general specification of the ventilator: functional requirements, values and ranges of parameters and interfaces between components.  Chapter 3 presents the specifications of the GUI, which is responsible for receiving infor- mation from the user and displaying information to the user.  Chapter 4 presents the specification of the controller, which is responsible for controlling the phase of the respiratory cycle (inhalation, pause, exhalation) by operating on the valves and receiving information from sensors and commands from the GUI.  Chapter 5 presents the specification of the alarm system which is responsible for raising alarms. 2 1.3 Suggested outcomes Requirement Numbering Convention The specification is divided in requirements, and the format of each requirement ID is: XXX.n.y Where: XXX = a three-letter code indicating a requirement type n = requirement number 1-9999 y = sub-requirement number 0-9 (0 if a parent, 1 to 9 if a child) Three-letter code Description AL Alarm requirements CONT Controller requirements FUN Functional (general) requirements GUI GUI requirements INT Interfaces requirements PER Values and ranges requirements SAV Safety requirements 1.3 Suggested outcomes During the development of the MVM software, no formal method has been applied, mainly because a lack of developers’ skills with any formal method. However, we want to propose this case study in order to demonstrate the feasibility of developing the ventilator by using a formal method based approach. Mechanical lung ventilators, as well as other medical devices which incorporate software, must be certified before their use. Several standards for the validation of medical devices have been proposed – as ISO 13485, ISO 14971, IEC 60601-1, EU Directive 2007/47/EC [28] –, but they mainly consider hardware aspects of the physical components of a device, and do not mention the software component. The only reference concerning the regulation of medical software is the standard IEC (International Electrotechnical Commission) 62304. This standard provides a very general description of common life cycle activities of the software development, without giving any indication regarding process models, or methods and techniques to assure safety and reliability. With this case study we aim to study the applicability of formal methods in software devel- opment of medical devices in order to satisfy the standards, IEC 62304 in this case. We have envisioned several aspects of the ventilator that could be the object of research activities. In the following, we give a non-exhaustive list of possible outcomes.  A classical approach consists in modeling the system or part of it and applying the classical V&V activities, like formal verification of the correctness or validation of scenarios. One could check that the behavior of the system is correct, like in case of some types of errors, the system goes into a fail-safe mode.  A critical aspect of the system is its temporal behavior. Many properties and constraints have explicit temporal requirements (like after 10 seconds ...). One could model these aspects and make a temporal analysis of the system.  After the good experience of ABZ2022, we decided to also include the GUI. Research ac- tivities could refer to modeling this critical component and analyzing the human-computer interaction.  Generation of executable source code and implement a prototype of the ventilator on a simple electronic board like Arduino (or part of it). 3 1 Introduction Useful references  Book on a mechanical ventilation [5]  Papers about MVM: [1,2, 3, 4] Acknowledgement We would like to thank all the people in the MVM team for the wonderful work we have done all together during the pandemic. We acknowledge the work done especially by Cristiano Galbiati, Reiner Kruecken, and Elvinia Riccobene. 4 2 System Requirements This chapter contains a high-level description of the system requirements, defining the functional requirements and interface requirements. The requirements are generic and independent of any technical solution to allow greater flexibility in the ventilator development. 2.1 Functional Requirements These requirements cover normal operating modes, e.g., start-up, PCV, PSV, and any direct re- sponses required following abnormal operation, e.g., pressure relief, alarm conditions for control systems. Start-up new patient? yes no SelfTest selftestPassed run selftest StandBy startPCV or startPSV stopVentilation Ventilation PCV error powerOff PSV FailSafe powerOff Figure 2.1: High level operation diagram ID Requirement / Rationale Input Ref. 5 2 System Requirements"
"FUN.1","The system shall provide ventilation support for patients who require mechanical ventilation and weigh more than 40 kg (88 lbs). Rationale: ventilation of children and infants is more chal- lenging"
"FUN.2","The system shall provide pressure regulated ventilation controlling the inspiratory pressure. Rationale: pressure regulated ventilation is most benefi- cial for COVID-19 patients"
"FUN.3","The system shall provide positive end expiratory pressure (PEEP) ventilation. Rationale: PEEP is important to keep alveoli recruited at the end of expiration"
"FUN.5","The Start-up Mode shall be initiated by pushing the power button of the system once the system has been connected to the breathing circuit (without connection to the patient), the air supply, and the power source. Rationale: need to turn on the system once all connections are attached so the sensors and valves can be properly tested."
"FUN.5.1","Upon initiation of the Start-up Mode, the system shall go through an initialization process that loads default pa- rameters and checks the system memory and the commu- nication of the controller with the sensors and valves, as well as between the controller and the GUI. Rationale: Need to ensure that the system properly started."
"FUN.5.2","The system shall indicate to the user that the initializa- tion process has been completed successfully or failed. In case of a failure the user shall be warned that the system is out-of-service. In addition, any other operations shall be not allowed. Rationale: only a fully functional unit shall be used with a patient"
"FUN.5.3","The patient shall not be connected to the breathing cir- cuit when the system is powered on and through start-up and self-test."
"FUN.6","The system shall have a self-test procedure that ensures ISO80601- the system and its accessories are fully functional and the 2-12 alarms work. 201.7.9.2.8.101) shall be mandatorycan be skipped or optionally rerun individually.and its sub-requirements), if they pass, then the ventilator can continue to the next state. ID Requirement / Rationale Input Ref..."
"FUN.6.1","The self-test procedure shall confirm the switchover from external to internal power works."
"FUN.6.2","The self-test procedure shall confirm there are no unac- ceptable leaks in the breathing circuit."
"FUN.6.3","The self-test procedure shall confirm the FI2 flow meter (see Figure 2.2) in the patient breathing circuit is con- nected in the right direction and is calibrated."
"FUN.6.4","The self-test procedure shall confirm the expiratory valve is functional."
"FUN.6.5","The self-test procedure shall confirm the oxygen sensor is calibrated."
"FUN.6.6","The self-test procedure shall confirm the local alarms are functional."
"FUN.7","If the self-test fails, the user shall be warned that the system is out-of-service. In addition, any other operations shall be not allowed."
"FUN.8","The system shall log key parameters, save them before being powered off and load them upon start-up to be made available on a log page on the GUI."
"FUN.8.1","The system shall have means to indicate visually the cu- ISO 80601-2- mulative hours of operation of the ventilator, either 1) 12: 201.104 automatically; or 2) by operator action. 7 2 System Requirements"
"FUN.8.2","The system shall be equipped with an alarm system log ISO 80601- with a capacity of at least 1000 events in total for: high 2-12: priority alarm conditions; medium priority alarm condi- 208.6.12.101 tions; and alarm signal inactivation states"
"FUN.8.3","The system shall time stamp all alarm events either via ISO 80601- the date and time, the elapsed time since the occurrence 2-12: of the alarm condition, or the elapsed time from the start 208.6.12.101 of use of system"
"FUN.8.4","The system shall not lose the contents of the alarm system ISO 80601- log during a loss of power for less than 7 d unless erased 2-12: by authorized personnel of the hospital. 208.6.12.101"
"FUN.8.5","The system shall not permit the healthcare professional ISO 80601- operator to erase the contents of the alarm system log. 2-12: 208.6.12.101"
"FUN.8.6","The system shall provide a log to include any change of ISO 80601- ventilator settings, including the value applied 2-12: 208.6.12.101"
"FUN.8.7","The system shall provide a log to include any change of ISO 80601- alarm settings, including the value applied 2-12: 208.6.12.101"
"FUN.8.8","The system shall provide a log to include change of pa- ISO 80601- tient, including the patient attributes; 2-12: 208.6.12.101"
"FUN.8.9","The system shall provide a log to include power supply ISO 80601- source change, including the source utilized 2-12: 208.6.12.101"
"FUN.8.10","The system shall provide a log to include results of the ISO 80601- pre-use check. 2-12: 208.6.12.101"
"FUN.8.11","The system shall provide a log to include the overall du- ration of the active use of the O2 sensor (%-hours) Rationale: The oxygen sensor has a limited lifetime ex- pectancy requiring a monitoring of its use in order to track its deterioration over time"
"FUN.8.12","The system shall log user-set ventilation and alarm pa- rameters as well as the current calibration parameters. Rationale: user-set ventilation and alarm parameters need to be able for the resumption of ventilation in case the system has to be briefly turned off."
"FUN.9","Once the self-test has been completed successfully and configurations have been loaded properly the system shall start monitoring and reporting health parameters. Rationale: At this point the monitoring module is able to carry out its assigned functionality."
"FUN.10","Once the start-up has been completed successfully the user must select “New Patient” or “Resume Ventilation” before the system transitions to self-test mode Rationale: in order to quickly resume ventilation for the same patient in case the unit had to be powered down 8 2.1 Functional Requirements"
"FUN.10.1","If “New Patient” is selected, the user shall have to enter patient attributes and the completion of every step of the"
"FUN.10.2","If “Resume Ventilation” is selected, the system shall load the last calibration parameters, alarm thresholds, and ventilation parameters from the last active patient venti- lation."
"FUN.10.3","If “Resume Ventilation” is selected, every step of the self-"
"FUN.10.4","Once all self-test steps have been completed successfully, it shall be possible to proceed to the Standby Mode."
"FUN.10.5","In Standby Mode ventilation shall be off and it shall be possible to adjust all user-controlled parameters for ven- tilation and alarms before connecting to the patient and starting patient ventilation."
"FUN.10.6","Once the power of the system has been off for more than 15 minutes it shall not be possible to select “Resume Ven- tilation”"
"FUN.11","The system shall connect to pressurized gas supply of oxygen and medical air and accept pressures up to 5.2 bar. Rationale: this covers the range of pressures available in hospital setting"
"FUN.12","The system shall provide breathing air through a stan- dard medical supply single-limbed patient circuit with a pneumatically controlled diaphragm expiration valve. Rationale: this is readily available medical supply"
"FUN.13","The system shall measure and display the breathing rate ISO 80601-2- (number of breathes per minute). 12 206.101 Rationale: observing and identifying the monitored venti- lation parameters is considered a primary operating func- tion"
"FUN.14","The system shall measure and display the percentage of ISO 80601-2- oxygen in the gas being delivered to the patient. 12 206.101 Rationale: observing and identifying the monitored venti- lation parameters is considered a primary operating func- tion"
"FUN.15","The system shall measure the ventilator pressure at/near ISO 80601- the inlet to the patient. 2-12 Rationale: observing and identifying the monitored venti- 201.12.4.102 lation parameters is considered a primary operating func- (b) tion"
"FUN.16","The system shall measure and display the volume of gas ISO 80601-2- delivered to the patient per breathing cycle (tidal vol- 12 ume). 206.101 Rationale: observing and identifying the monitored venti- lation parameters is considered a primary operating func- tion 9 2 System Requirements"
"FUN.17","The system shall measure and display the flow of gas de- ISO 80601-2- livered to the patient per breathing cycle. 12 Rationale: observing and identifying the monitored venti- 206.101 lation parameters is considered a primary operating func- tion"
"FUN.18","The system shall have a leak compensation feature for leaks in the patient breathing circuit which shall be dis- abled by default. Rationale: regulatory requirement"
"FUN.18.1","The user shall be able to disable/enable the leak compen- sation feature at any time."
"FUN.18.2","When enabled, the leak compensation shall be activated"
"SAV.15",")The system shall raise a high priority alarm if there is an ISO 80601- obstruction in the pneumatic circuit 2-12 201.12.4.108 (b1) 22 2.5 Alarm requirements"
"FUN.19","The system shall have a pressure control venti- lation (PCV) mode, as characterized by the fol- lowing plots of pressure and flow versus time. Rationale: this is the most appropriate procedure for COVID-19 patients as it allows the immediate reopen- ing of the alveoli and is strongly recommended by the doctors and nurses in the COVID-19 wards of Lombardy, rather than the constant flow procedure. These charac- teristics of the ventilator pressure transient during the inspiratory cycle are crucial to avoid barotrauma and to minimise long term fatigue of muscles and alveoli induced by forced mechanical ventilation."
"FUN.21","In PCV mode, a new breathing cycle shall be initiated either after a breathing cycle is over, or by patient request during expiration. Rationale: while the main mode of PCV is the control of the breathing cycle timing by the ventilator, the patient has to have the ability to trigger a breath on his own"
"FUN.21.1","A new breathing cycle shall be initiated by a sudden drop in pressure above a user-settable threshold (Inhale Trigger Sensitivity). Rationale: In a pressure-regulated ventilator, the intensity of pressure drop initiated by the patient is the easiest way to detect the spontaneous breathing attempt"
"FUN.21.2","A patient breath trigger shall reset the timer for the time- cycled breathing cycle. Rationale: Avoid breath stacking, which would lead to hyperventilation"
"FUN.22","In PCV mode it shall be possible to initiate with the push of a single button a lung recruitment procedure, termed Recruitment Maneuver (RM). Note: This maneuver is not allowed in North America. Rationale: The RM is an emergency procedure required immediately after intubation. RM consists in the pro- longed lung inflation at increased inspiratory set pressure, as necessary to reactivate the alveoli immediately after in- tubation."
"FUN.23","The system shall provide means to switch from PCV to PSV while PCV ventilation is active. Rationale: the switchover between modes should not re- quire stopping the ventilation in order to maintain venti- lation of the patient"
"FUN.23.1","When a PCV-to-PSV switch is initiated by the user the system shall ask the user for confirmation/setting of PSV parameters to be used"
"FUN.23.2","The switch to PSV shall occur only after the PSV parame- ters have been confirmed and until that has happened the PCV ventilation shall continue"
"FUN.23.3","The switch to PSV shall occur at the end of a PCV in- spiratory time 11 2 System Requirements"
"FUN.24","The system shall have a pressure support ventilation (PSV) mode, as characterized by the following plots of pressure and flow versus time. Rationale: In PSV mode, the ventilator supports the pa- tient who is supposed to breathe spontaneously. PSV is needed to wean patients off the ventilation by allow- ing them to strengthen the muscles involved in breathing. PSV is not suitable for patients unable to initiate breaths on their own."
"FUN.25","In PSV mode the breathing cycle shall be initiated by a sudden drop in pressure above a user-settable threshold (Inhale Trigger Sensitivity) Rationale: In a pressure-regulated ventilator, the speed of pressure drop initiated by the patient is the easiest way to detect the spontaneous breathing attempt as per ventilator experts"
"FUN.26","In PSV mode the expiration phase shall start when the inspiratory flow drops below a setable fraction of the peak flow (Expiratory Trigger Setting) Rationale: Dropping inspiratory flow indicates the end of the inspiration"
"FUN.27","In PSV mode the system shall check for the presence of apnea, which occurs when a patient does not take new breath within the allowable apnea lag time. Rationale: In case the patient stops breathing (apnea) the system needs to be able to ensure that the patient continues to be ventilated. 12 2.1 Functional Requirements"
"FUN.27.1","If apnea is detected, an apnea alarm shall be triggered. Rationale: Clinician needs to be made aware of the fact that patient stops breathing"
"FUN.27.2","If apnea is detected, the system shall automatically switch from PSV to PCV mode with pre-determined apnea backup settings for RRAP , Pinsp AP , I:EAP . RRAP and Pinsp AP shall be set by the user. I:EAP will be fixed at 1:2 Rationale: in case of apnea the ventilator needs to take over and ensure that ventilation continues to assure pa- tient safety"
"FUN.28","In PCV and PSV mode there shall be the possibility to ISO 80601-2- press a single button to initiate an Expiratory Pause 12 201.107.1 that closes both inspiratory and expiratory valve at the end of the expiration phase as long as the operator holds the button but no longer than 60 sec Rationale: The expiratory pause allows the determination of the residual pressure above the PEEP level, the resid- ual value being PEEP + AutoPEEP. AutoPEEP level for the patient, providing information on the level of obstruc- tion in the exhalation channel. AutoPEEP may be zero for most patients or significantly different from zero for patients that have obstructions in the exhalation chan- nel, as possibly generated by secretions. In this case, the small flow during exhalation may result in an incomplete drain of the alveoli during the expiration phase."
